date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:13	934/934	---MCZ	200	added ('OK')	text/plain	date:Sun,%2026%20Apr%202026%2009:55:13%20GMT	https://takeoffmilan.com/robots.txt		(from )
11:55:14	189934/189934	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2009:55:14%20GMT	https://takeoffmilan.com/	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/index.html	(from )
11:55:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:14%20GMT	http://takeoffmilan.com/cdn/shop/files/Impact.png?crop=center&height=32&v=1770937324&width=32	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/files/Impact.090b8.delayed	(from https://takeoffmilan.com/)
11:55:15	2069/2069	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202026%2010:15:43%20GMT	https://takeoffmilan.com/cdn/shop/files/Impact.png?crop=center&height=32&v=1770937324&width=32	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/files/Impact90b8.png	(from https://takeoffmilan.com/)
11:55:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:15%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/constants23e9.js	(from https://takeoffmilan.com/)
11:55:15	195/195	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2024%20Apr%202026%2007:07:57%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/constants23e9.js	(from https://takeoffmilan.com/)
11:55:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:16%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/pubsub945d.js	(from https://takeoffmilan.com/)
11:55:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:16%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/global.js?v=40820548392383841591770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/global1cbf.js	(from https://takeoffmilan.com/)
11:55:16	476/476	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2007:41:19%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/pubsub945d.js	(from https://takeoffmilan.com/)
11:55:16	34430/34430	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2007:41:19%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/global.js?v=40820548392383841591770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/global1cbf.js	(from https://takeoffmilan.com/)
11:55:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2009:55:17%20GMT	http://takeoffmilan.com/cdn/shop/t/2/assets/animations.js?v=88693664871331136111770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/animations675f.js	(from https://takeoffmilan.com/)
11:55:16	2929/2929	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2025%20Apr%202026%2008:13:45%20GMT	https://takeoffmilan.com/cdn/shop/t/2/assets/animations.js?v=88693664871331136111770806540	C:/Mie%20pagine%20Web/takeoff/takeoffmilan.com/cdn/shop/t/2/assets/animations675f.js	(from https://takeoffmilan.com/)
